Subject,CB,Q1num,Q1str,Conf1num,Conf1str,Opin1num,Opin1str,Q2num,Q2str,Conf2num,Conf2str,Opin2num,Opin2str
1,2b,50,[50 cents],80,[80%],30,[30%],10,[10 cents],60,[60%],50,[50%]
2,1a,5,5 cents,90,90%,67,67%,45,45 cents,90,90%,83,83%
3,1b,10,10 cents,95,95%,60,60%,70,70 cents,100,100%,30,30%
4,2a,1,1$,50,50%,60,60%,10,10 cents,80,80%,70,70%
5,2b,90,90 cents,80,80,50,50,50,50 cents,70,70,40,40
6,1a,50,50 cents,90,90%,60,60%,90,90 cents,80,80%,70,70%
7,1b,10,10 cents,95,95%,75,75%,0.4,$0.40,80,80%,60,60%
8,2b,0.9,$0.90,80,80%,80,80%,0.5,$0.50,80,80%,60,60%
9,2a,0.5,0.50,80,80%,70,70%,0.1,0.10,60,60%,40,40%
10,1a,5,5 cents,40,40,20,20,90,90 cents,60,60,30,30
11,2a,0.45,$0.45,80,80%,35,35%,0.1,$0.10,60,60%,70,70%
12,1a,0.1,$0.10,65,65,70,70,0.9,$0.90,84,84,93,93
13,1b,10,10 cents,95,95 percent,80,80 percent,70,70 cents,80,80 percent,60,60 percent
14,2b,90,90 cents,95,95%,85,85%,20,20 cents,65,65%,75,75%
15,1a,5,5 cents,40,40%,67,67%,90,90 cents,80,80%,30,30%
16,2a,0.5,0.50,75,75,40,40,0.1,0.10,80,80,60,60
17,2b,,I don't know.,45,45,85,85,,I don't know.,35,35,60,60
18,1b,10,10 cents,75,75%,25,25%,60,60 cents,75,75%,30,30%
19,1a,1.75,"I need to calculate this out on paper. 45+65=110. The difference between the two prices, 30 cents, represents the price of one item ($1). So $0.75 for the eraser and $1.75 for the pencil.",95,95%.,80,"Hmm. This isn't an easy question either. It depends, I suppose, on education level and math skills but also on whether or not the person had a calculator. If they were doing mental arithmetic alone, say, on a bus or train, they might make a mistake. I don't know. Maybe 80% would answer correctly?",1,Let me think about this for just a moment. The difference is 90 cents... so 90 cents is $2 minus the price of the banana. Then 90 cents plus the price of the banana equals $2.90. So the banana is 1 dollar.,95,Pretty sure -- 95%.,80,"Same as last time. At least 80%, probably more."
