Subject,Subject.1,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
1,,2b,PE,1,0.05,0,1.05,Eraser = $0.05 Pencil = $1.05,1,0.9,1,0.9,.90,0.8,80,1,100,0.5,50,0.7,70
2,,1a,PE,0,1,0,1,Eraser = x; Pencil = 1 + x,0,2,0,2,Banana = x; Magazine = 2,1,Confidence = 100%.,1,"Again, 100% confident with my answer.",0.75,I would say approximately 75% or more get it correct.,0.85,Perhaps a slightly higher percent than the last question. Let's just say 85%.
3,,1b,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$0.10,0.9,90%,0.95,95%,0.35,35%,0.7,70%
4,,2a,BM,1,45,1,0.45,"Banana costs 45 cents. If the magazine is $2 more than the banana, that makes it $2 + $.45 = $2.45. Therefore, the banana costs $.45.",1,10,1,0.1,"Eraser costs 10 cents. Again, this is just simple algebra: if the pencil costs $1 and both objects total to $1.10, that means the eraser must be $1.10 - $1 = $.10.",1,100%,1,100%,0.9,90%. I imagine most adults should know how to solve this kind of simple algebraic equation.,0.95,95%. This question seems pretty obvious; I can't see why anyone would get this one wrong.
5,,2b,PE,1,0.05,0,1.05,"The answer should be $.05 for the eraser, which means the pencil costs $1.05. I think some people might forget to account for the price difference between the two items.",1,0.9,1,0.9,.90 cents or $.90,0.92,"My confidence is quite high with this answer because when dealing with simple problems such as these ones, my arithmetic skills do not let me down often. Therefore, I will go ahead and claim a certainty rating of 92%.",0.85,"I am pretty sure that the banana would cost around $0.90 or thereabouts, so I'd say around 85%.",0.65,"The solution to the previous question may seem obvious to many, but the same cannot be said about those who actually solve it. That's why I would estimate that no more than 65% got it right.",0.7,"Well, I hope most of them answered it like me... so maybe 70%?"
6,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.75,75%.,0.95,95%,0.5,50% or lower,-1,85-100%
7,,1b,BM,0,0.2,0,0.2,twenty cents or $.20,1,0.1,1,0.1,ten cents or $.10,1,100%,1,100%,0.7,"70%, maybe because there were just two possible answers left after solving the first problem. So I’d like to say 70%.",0.65,"I think more than half of them will solve it right, so let me say 65%."
8,,2b,PE,1,0.05,0,1.05,"$.05 for the eraser, and $1.05 for the pencil",1,0.9,1,0.9,".90 cents (the answer was clearly meant to be expressed in cents, not dollars)",0.95,95%,0.75,75%,0.6,60%,0.35,35%
9,,2a,BM,0,10,0,10,10 cents,1,10,1,10,10 cents,0.5,50 %,1,100%,0.85,85 %,0.99,99%
10,,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,0.85,85,0.7,70,0.5,50,0.8,80
11,,2a,BM,0,0.4,0,0.4,.40,1,0.1,1,0.1,.10,0.9,90,0.99,99,0.85,85,0.6,60
12,,1a,PE,1,5,1,5,"5 cents, since the pencil is a dollar and the eraser is a nickel less, which adds up to the total.",1,90,1,90,This one is a little confusing for me but my guess would be that the banana costs 90 cents because $2.90 - $2 = $.90 or 90 cents.,0.75,I'm about 75% sure it's correct because it seems reasonable based on the given information.,0.5,"Only 50%, since there was more than one answer possible but I couldn't figure out the other solution.",0.95,I think 95%. It seemed fairly straightforward after reading it several times.,0.4,"I would say around 40%. Even though there were two possibilities, most people would have been able to calculate at least one correct answer."
13,,1b,BM,1,45,1,45,The banana costs 45 cents.,1,10,1,10,"The eraser cost 10 cents. I know this because if you subtract the price of the pencil from the total cost, it leaves just enough money for an eraser that only cost a dime.",0.87,"87%. It was pretty easy to figure out so I don't think many people would make mistakes. But, again, there is always the chance of human error or a math mistake on the questioners side.",0.95,"95%, because there's always room for human error or a mistake on their part.",,Around three quarters if they were all paying attention. Maybe even higher.,,At least half of people will get this right.
14,,2b,PE,1,0.05,1,0.05,$.05 cents,1,0.9,1,0.9,$.90 cents,0.9,90,0.95,95,0.3,30%,0.75,75%
15,,1a,PE,1,5,0,1.1,"Eraser costs 5 cents. If I say the eraser costs 10 cents then the pencil would be 1 dollar but they state that the pencil costs one dollar more than the eraser, so it must mean that if the eraser costs 5 cents, then the pencil costs a dollar, which makes the total $1.10.",1,90,1,90,"Banana costs 90 cents. Since the magazine was 2 dollars, the difference between the two items is .90 cents making the banana 90 cents.",1,"100%. My calculations were correct, no reason for me to question my answer.",1,"100% as well because it follows simple logic that if something is taken away, it leaves behind the difference.",0.6,"Not sure, let's say 60%",0.5,Again I can't be entirely sure but probably about 50% at least.
