Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff,temp
1,LLM_MIX8X7B_T13,21,Male,PE,2b,1,0.05,1,0.9,,,0.8,1,0.5,0.7,,,,,,,,-0.2,-0.2,1.3
2,LLM_MIX8X7B_T13,18,Male,PE,1a,0,1,0,2,,,1,1,0.75,0.85,,,,,,,,0,-0.1,1.3
3,LLM_MIX8X7B_T13,18,Male,BM,1b,1,0.45,1,0.1,,,0.9,0.95,0.35,0.7,,,,,,,,-0.05,-0.35,1.3
4,LLM_MIX8X7B_T13,20,Male,BM,2a,1,45,1,10,,,1,1,0.9,0.95,,,,,,,,0,-0.05,1.3
5,LLM_MIX8X7B_T13,19,Female,PE,2b,1,0.05,1,0.9,,,0.92,0.85,0.65,0.7,,,,,,,,0.07,-0.05,1.3
6,LLM_MIX8X7B_T13,19,Female,PE,1a,1,0.05,1,0.9,,,0.75,0.95,0.5,-1,,,,,,,,-0.2,1.5,1.3
7,LLM_MIX8X7B_T13,18,Female,BM,1b,0,0.2,1,0.1,,,1,1,0.7,0.65,,,,,,,,0,0.05,1.3
8,LLM_MIX8X7B_T13,20,Female,PE,2b,1,0.05,1,0.9,,,0.95,0.75,0.6,0.35,,,,,,,,0.2,0.25,1.3
9,LLM_MIX8X7B_T13,19,Male,BM,2a,0,10,1,10,,,0.5,1,0.85,0.99,,,,,,,,-0.5,-0.14,1.3
10,LLM_MIX8X7B_T13,18,Male,PE,1a,0,0.1,1,0.9,,,0.85,0.7,0.5,0.8,,,,,,,,0.15,-0.3,1.3
11,LLM_MIX8X7B_T13,19,Female,BM,2a,0,0.4,1,0.1,,,0.9,0.99,0.85,0.6,,,,,,,,-0.09,0.25,1.3
12,LLM_MIX8X7B_T13,19,Female,PE,1a,1,5,1,90,,,0.75,0.5,0.95,0.4,,,,,,,,0.25,0.55,1.3
13,LLM_MIX8X7B_T13,19,Female,BM,1b,1,45,1,10,,,0.87,0.95,,,,,,,,,,-0.08,,1.3
14,LLM_MIX8X7B_T13,18,Male,PE,2b,1,0.05,1,0.9,,,0.9,0.95,0.3,0.75,,,,,,,,-0.05,-0.45,1.3
15,LLM_MIX8X7B_T13,22,Female,PE,1a,1,5,1,90,,,1,1,0.6,0.5,,,,,,,,0,0.1,1.3
16,LLM_MIX8X7B_T13,19,Female,BM,2a,1,0.45,0,,,,1,0.7,0.65,0.02,,,,,,,,0.3,0.63,1.3
17,LLM_MIX8X7B_T13,20,Female,PE,2b,1,0.05,1,0.9,,,0.5,0.8,0.3,0.5,,,,,,,,-0.3,-0.2,1.3
18,LLM_MIX8X7B_T13,18,Female,BM,1b,0,1,1,0.1,,,0.98,0.95,0.67,0.85,,,,,,,,0.03,-0.18,1.3
19,LLM_MIX8X7B_T13,18,Female,PE,1a,0,10,1,90,,,0.9,0.8,0.011,0.7,,,,,,,,0.1,-0.689,1.3
20,LLM_MIX8X7B_T13,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.7,0.65,,,,,,,,0,0.05,1.3
21,LLM_MIX8X7B_T13,18,Female,BM,1b,1,45,1,10,,,0.9,0.95,0.8,0.95,,,,,,,,-0.05,-0.15,1.3
22,LLM_MIX8X7B_T13,19,Male,PE,2b,1,0.05,1,0.9,,,0.9,0.85,0.0005,0.6,,,,,,,,0.05,-0.5995,1.3
23,LLM_MIX8X7B_T13,18,Female,PE,1a,0,0.1,1,0.9,,,0.95,1,0.6,0.7,,,,,,,,-0.05,-0.1,1.3
24,LLM_MIX8X7B_T13,18,Female,BM,2a,1,0.45,1,0.1,,,0.9,1,0.7,0.6,,,,,,,,-0.1,0.1,1.3
25,LLM_MIX8X7B_T13,20,Female,PE,2b,1,0.05,1,0.9,,,0.8,0.75,0.4,0.6,,,,,,,,0.05,-0.2,1.3
26,LLM_MIX8X7B_T13,19,Male,BM,1b,0,2.7,0,,,,0.95,0.85,0.65,0.45,,,,,,,,0.1,0.2,1.3
27,LLM_MIX8X7B_T13,19,Female,PE,2b,0,1,1,0.9,,,0.8,0.85,0.5,0.65,,,,,,,,-0.05,-0.15,1.3
28,LLM_MIX8X7B_T13,19,Male,BM,1b,1,45,1,10,,,0.8,0.75,0.3,0.65,,,,,,,,0.05,-0.35,1.3
