Subject,Subject.1,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
1,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.8,80,0.9,90,0.6,60,0.75,75
2,,1a,PE,1,5,0,1.1,"5 cents. If the pencil cost one dollar more than the eraser, then the pencil would cost a dollar fifteen, which brings our total to one eighteen instead of the required 1.10, therefore, the eraser must be 5 cents to bring the total to $1.10.",1,90,1,90,"Correct answer, 90 cents",0.95,95%. I have thought about this problem for a few minutes to make sure I did not miss any other options or details.,1,100%. This seems like such an easy question since we already know one variable.,0.7,"I think most people who read the question carefully can solve this problem, but there will always be those that just guess. So, let’s say around 70%",0.95,"If they understand that they just subtract the magazine price from the total, then everyone should get this right. Let me assume around 95%."
3,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.7,70,1,100,0.85,85,0.95,95
4,,2a,BM,1,45,0,90,Banana costs 45 cents and magazine costs 2 dollars and 45 cents which totals up to 2 dollars and 90 cents.,1,10,1,10,"This seems like a trick question but if we stick with the provided information, then eraser must cost 10 cents since the difference between the total cost of pencil + eraser and cost of pencil alone amounts to 10 cents.",,I'm totally sure of my answer because it makes logical sense and is mathematically correct.,,My confidence level remains high for this question as well since it's based on simple addition.,0.3,"Probably around 30%. Some people don't understand logic or mathematical principles required for solving this kind of question. Others may overlook an alternative interpretation and only focus on one aspect. For example, some would consider only the monetary value ignoring that there could be additional factors at play such as taxes etc.",0.5,"Given that the second question is more straightforward than the first, I believe approximately 50% might have solved it correctly. Again, there are always those who fail to consider all aspects of the problem or misinterpret the information given."
5,,2b,PE,1,5,0,1.05,Eraser cost 5 cent and pen cost $1.05,1,0.9,1,0.9,$0.90,0.65,65%,0.8,80%,0.4,I think only 40%.,0.75,75%
6,,1a,PE,0,0.1,0,1.1,"Eraser = $.10 Pencil = $.10 + $1 = $1.10 but I see that is too high because they add up to $1.20, so I am going to say eraser = $.05 and pencil = $.05 + $1 = $1.05 for a total of $1.10",0,2.9,1,0.9,Banana = $2.90 - $2 = $.90 cents,0.8,80%,1,100%,0.45,45%,0.7,70%
7,,1b,BM,0,2,0,2.9,"First off, I realize that a banana can't exactly be measured by money like that. But, if we go along with this scenario anyway, then let's try to find out how much a banana costs! The magazine is $2 more expensive than a banana so there’s $2 separating them on price. Adding those together makes the total cost which equals $2.90. Subtracting $2 gives you $.90 left over, meaning that a banana would have to cost $.90 because otherwise there wouldn’t be enough to cover both items’ prices with just $2.90.",0,1,0,1.1,"It doesn’t make sense; if the pencil costs $1 and they are $1.10, then there is only a dime left for an eraser which wouldn’t be possible because nothing is free.",0.85,I am about 85% sure of my answer. My logic checks out but I might still have made a mistake somewhere or misunderstood something so I cannot say I’m completely certain.,0.75,I am 75% sure in my answer but still unsure as to whether I was correct in analyzing the question or not.,-0.7,"It depends on whether they stopped after adding numbers up or thought a bit deeper into it. If they added $2 and $.90 together, then probably less than half got it right; if they considered all possibilities, perhaps around 60-70%.",0.011,"I think less than 20% got it right. Most people just add and say $.10 without actually considering that the two things equal $1.10, and therefore one must be “free” in order for the sum to be true."
8,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90%,0.85,85%,0.85,85%,0.65,65%
9,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.76,76,0.88,88,0.35,35,0.9,90
10,,1a,PE,1,0.05,0,1,"Eraser costs $.05, Pencil then would be $1.05 which equals $1 more",1,0.9,1,0.9,This one seems too easy so I will go with $.90 for the banana since that's what you get when subtracting the magazine price,0.95,I am pretty sure on this answer so 95% confident,0.99,Well if I did that last one right then I am 99% certain about this answer,0.25,If my assumption is correct about how most people view this question then only around 25% may answer correctly based off past statistics,0.5,Given that there are typically two different ways of thinking about these problems I would say maybe half of those responding got it right at around 50%
11,,2a,BM,1,0.45,1,0.45,"$.45 cents. (The Magazine costs $1.95, and then subtracting $1.50 leaves you with $0.45)",1,0.1,1,0.1,This one seems too easy; so either I'm missing something here or the correct answer is simply that the eraser costs $0.10.,0.8,80%.  I'm not completely certain because I thought about it for a bit before responding.,0.95,"95%.  Again, it just seemed way too obvious.",0.02,60%.  Many people may forget or fail to see the need to account for the $2 difference when calculating the cost of the banana.,0.75,"75%.  The trick to the previous question was that there was no real trick, making this question fairly straightforward to answer if noticed."
12,,1a,PE,1,0.05,1,0.05,"The eraser costs $.05. I reasoned it by first subtracting $1 from the total price, then dividing that difference between the items ($1.10 - $1 = $.10 / 2 = $.05 for both).",1,0.9,1,0.9,The banana costs $.90. I simply subtracted the value of the magazine ($2) from the combined total cost ($2.90) and found that the banana would be $0.90 as a result.,0.75,75%. I'm pretty sure but I am also aware that my mind is tired from taking multiple tests today so I may have miscalculated due to mental exhaustion or carelessness.,0.9,90%. This seemed like a fairly easy problem and I feel that there's very little chance for error here.,0.65,65% since many people might get the answer wrong because they don't think through their response fully or aren't careful when making calculations.,0.8,80% since most individuals can solve simple math problems such as this one without trouble.
13,,1b,BM,0,50,0,2.5,"50 cents; the magazine costs $2.50.  Again, if I didn’t make this leap, my confidence level would be lower. But with some thought, it makes sense!",1,10,1,10,10 cents (This was a trap question!),0.8,80%  It took me some time and thinking before realizing that the difference between two numbers could also represent an addition to one of them.,0.75,75%.  I guess that’s what I get for falling into that trick question!,0.65,"More people got this one right, perhaps as many as 65%. This question wasn't as obviously deceptive as the first, so it might have seemed less like a trick.",0.35,Less than half – maybe only about 35% - because most will think the answer is ten cents when they calculate backwards instead of considering alternative approaches.
14,,2b,PE,1,0.05,0,1.05,"Eraser=$.05, Pencil=$1.05",1,0.9,1,0.9,$.90,1,100%,0.95,I'm 95% sure that is correct,0.5,"Hmm..this one can be tricky. Maybe only about 50% because some people won't take into account that there could be a decimal involved, or else they might solve for integer values.",0.85,"Probably around 85%, assuming they did some algebra or basic arithmetic"
15,,1a,PE,1,0.05,0,0.1,"$.05 (the most common answer is $.10, but some participants get this correct)",1,0.9,1,0.9,$.90,0.68,68,1,100,0.23,23,0.9,90
16,,2a,BM,1,0.45,1,0.45,"$0.45, because if a magazine cost $0.95 then that would be $2 more than the banana's price ($0.45)",1,0.1,1,0.1,$0.10,0.8,"80%, because I know its right, but I think it may have been misleading or a trap answer!",0.9,90%,0.5,"50%, just a guess",0.001,"95%, because I feel like most will understand that a $1 difference doesn't affect the .10 cent eraser"
17,,2b,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,0.99,99%,0.85,85%,0.6,60%,0.75,75%
18,,1b,BM,1,0.45,1,0.45,"$.45, again I just subtracted, I know the answer is wrong but the question is asking for the price of the banana only",1,0.1,1,0.1,"$.10, I did subtraction",0.85,"85%, I am very confident since I made the right calculation. But my answer can still be wrong if other factors are at play here like discounts and such...",0.9,"90%, that's just subtraction...",0.35,"35%, the concept might be too simple for them but their knowledge of discounts, offers and whatnot will make them think it's harder",0.65,"65%, they might get confused because of money"
19,,1a,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,0.95,95%,1,100%,0.4,40%,0.6,60%
20,,2b,PE,1,0.05,1,0.05,0.05,1,0.9,1,0.9,0.9,0.4,40,0.5,50,0.2,20,0.7,70
21,,1b,BM,0,,0,,Banana costs sixty cents,0,,0,,ten cents,0.9,90%,1,100%,0.4,40%,0.5,50%
22,,2b,PE,0,1,0,1,"This seems incorrectly phrased but I will try to solve it anyway. Let x be the price of an eraser then x + ($1+x)=$1.10. Solving gives us x=.05 or x=$0.05 or $0.05 which makes the total equal $1.05 when adding back the $1 pencil cost. Thus this seems incorrect as we got $.05 extra. But if the original statement says the pencil costs ""only"" $1 more than the eraser then my solution is correct since there'd be no need to add back $1 for the final price.",1,0.9,1,0.9,0.90 cents (I assume this question asks for price),0.6,Less than before at about 60%. This one seemed trickier and more complex.,0.75,I would say about 75%. There's always room for error in calculations.,0.4,Perhaps 40%. This was a bit harder and required some algebraic manipulation that most people wouldn't know off the top of their head.,0.009,80%. Most adults probably have experience in basic addition and know that the answer is .90 cents.
23,,1a,PE,1,0.05,0,1,Eraser costs 0.05 dollars (1.10 - 1),1,90,1,90,Banana costs 90 cents.,0.95,95%,1,"100%, my answer is correct",0.49,I believe that about half or slightly less than half would solve this problem correctly. 49%.,0.75,"It depends on the level of mathematical proficiency; however, assuming an average college student, I will say approximately 80% have a good chance of solving this problem. 75%."
24,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.97,97%,1,100%,0.9,90%,0.95,95%
25,,2b,PE,0,0.1,0,0.1,Ten cents ($.10),1,0.9,1,0.9,$.90 (ninety cents),0.001,"99%. My reasoning is that if the pencil costs $1 more than the eraser, then the eraser must be a certain amount less than a dollar. If we add these two amounts together, they should equal $1.10. So let E represent the cost of the eraser. Then P = E + 1, and P + E = 1.1. Solving for E gives us E = .1 or ten cents.",0.85,"85%. I'm quite certain that this answer is correct, but there is still some doubt as to whether my memory serves me correctly, and if so, whether it was printed as ninety or point nine, etc.",0.75,"75%. This problem requires an understanding of algebraic expressions, which many people do not possess. However, those who do understand algebra may still make errors due to carelessness or miscalculation.",0.65,"65%. Based on previous experience teaching math, especially algebra, many students have difficulty conceptualizing variables and thus make errors when solving equations such as ""x + y = z; x = w."" It would follow that students who have never had any experience with variables before might also fail at problems like this one because they don't understand what variables represent."
26,,1b,BM,0,30,0,30,30 cents,1,10,1,10,10 cents,0.9,90%,0.98,98%,0.75,75%,0.98,98%
27,,2b,PE,1,0.05,0,1.1,Eraser costs $.05.  Pencil would be $1.05.  Added together they equal $1.10,1,0.9,1,0.9,$.90,1,"I am extremely confident with my answer, 100%.",0.95,"I'm pretty confident, maybe a 95%.",0.3,"It depends on their ability to reason abstractly, so I would say around 30%?",0.6,"Probably at least 60%, if not more."
28,,1b,BM,0,,0,,Twenty cents,0,,0,,Ten cents,0.7,70%,0.8,80%,0.4,40%,0.5,50%
29,,2a,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$.10,0.6,60,0.9,90,0.6,60,0.8,80
30,,1a,PE,0,0.1,0,0.1,.10 cents,1,90,1,90,90 cents,0.5,50%,0.75,75%,0.4,40%,0.6,60%
31,,1a,PE,0,0.95,0,0.95,.95 cents (the eraser costs .95),1,0.9,1,0.9,.90 cents (bananas cost .90 each),0.6,60%,0.4,40%,0.75,I would think that about 75% would get this right,0.75,Again I would say maybe about 75%.
32,,1b,BM,0,40,0,3.5,Banana cost 40 cents. Magazine cost 3.50 dollars.,1,10,1,10,10 cents,,Not as confident but I feel my answer is correct,,I am totally sure!,0.75,About 75%.,0.95,Over 95 percent
33,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.7,70%,0.85,85%,0.6,60%,0.75,75%
34,,2b,PE,0,0.5,0,0.5,"The eraser costs $.50 cents. Because if an eraser that costs X dollars is used with the pencil, then their sum must be $1.10 dollars. And since the pencil costs one dollar more, which means its price is 1+X. Therefore we can formulate two equations to solve for X: X+(1+X)=$1.10, where X=$.50.",1,0.9,0,2.9,"$.90 cents. Because if a magazine that costs $2 makes the total cost be $4.90, then it must mean that the magazine's price increased by the price of the banana. So $2 + .90 = $2.90",1,Once again I am totally certain so 100%.,1,I am completely sure; therefore I would say I have 100% confidence.,0.35,This time I think even less people got it correct so maybe only 35%.,0.6,Maybe around 60%
35,,1b,BM,0,2,0,0.9,"So if the magazine is 2 dollars more than the banana, then you can subtract 2 from the total and get the banana price so it would be $.90",1,0.1,1,0.1,It seems like the eraser would cost $0.10 because that's what I calculated when subtracting the cost of the pencil from the total.,0.98,I am 98% sure.,0.85,I am 85% sure.,-0.7,Maybe around 65-70%. It's a little bit trickier than the first question because of the wording and might cause confusion with having to add instead of subtract for some.,0.8,Maybe about 80%. I think most people could solve this but maybe some just choose not to answer it based on how they feel or their understanding of decimals.
36,,2a,BM,0,0.9,0,0.9,0.90,1,0.1,1,0.1,0.10,0.95,95%,1,100%,0.67,67%,0.8,80%
37,,1a,PE,1,0.05,0,1.05,Eraser = $0.05; Pencil = $1.05,1,0.9,0,2,Banana = $0.90; Magazine = $2,1,100%,1,100%,0.4,I would say 40%.,0.7,"70%, probably."
38,,2b,PE,1,0.05,0,1.05,Eraser= $.05; Pencil=$1.05,1,0.9,1,0.9,$0.90,1,100%,1,100%,0.75,75%,0.5,50%
39,,1b,BM,1,45,1,45,"45 cents because if you subtract two dollars from the total price, you get one dollar and ninety cents, and then divide by half again, getting thirty eight cents for each half which equals seventy six cents altogether minus forty five cents remaining for the banana. This problem took me longer to figure out than the last one as math is generally not my strongest suit but I made an educated guess and got it right.",1,0.1,1,10,".10 or 10 cents. I know it seems like an obvious answer but when thinking in dollars, you usually don't think about decimals unless otherwise specified so I feel that sometimes, people forget there might be a smaller decimal value to add up. It also depends on how the question was phrased if this would be your response though.",0.6,60%,0.8,80%,0.3,30%. There's more complexity involved here so less people would get it right.,0.5,"50%. While many may solve it correctly, some still struggle with adding cents."
40,,1b,BM,0,40,0,40,40 cents,1,10,1,10,10 cents,0.85,85%,0.95,95%,0.5,50%,0.6,60%
41,,2b,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,1,100%,1,100%,0.8,80%,0.75,75%
42,,1a,PE,0,1.1,0,1.1,I would say that the eraser costs ten cents because a dollar more than that equals $1.10.,1,90,1,90,"Again, it should be 90 cents for the banana, since the magazine's price is two dollars cheaper than their total.",1,"I am totally sure, so my confidence level is at 100%.",1,"My confidence level here is 100%, too.",0.5,"Well, maybe just half of the participants will answer correctly since some people tend to solve this problem differently. So I will guess around 50%.",0.57,"This time, perhaps even less than 50% would answer correctly because, as we all know, the correct method requires subtracting the smaller amount ($2) from the larger one ($2.90). That's quite complicated. It appears that almost 42-43% did not answer it right, so my guess would be around 57%."
43,,2a,BM,1,0.45,1,0.45,$.45 (Correct),1,0.1,1,0.1,$.10 (Correct),0.9,90%,0.76,90% (Actual answer: only 76%),0.8,80% (Very close),0.25,"90% (Actually, just 25% solve both)"
44,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.7,70%
45,,2b,PE,0,10,0,10,Eraser is 10 cents,1,90,1,90,90 cents (cost divided by number of items),0.7,"70%. It feels like the answer should be higher, but I know that wouldn't fit with the rest of the problem, so I can't change it without feeling like something would be wrong",0.6,"60% (I know what I just did, but it doesn’t feel completely right for some reason)",0.75,75% (based off of an educated guess based on how many people got it correct when we worked through this question as a class),0.5,"50% or less, there were a lot of incorrect answers in class"
46,,1b,BM,0,2,0,0.9,"Well, let me think... Okay. If the mag costs $2 more, then the mag has to be $2.90 and the banana must cost $2 - $2.90 = -$.10. That doesn't make sense. Umm... I guess if I turn the problem around, it means that if the mag costs $2.90, then the banana has to cost $2.90 - $2 = $.90, and since there is no negative cost, the only solution is $.90 for the banana.",1,0.1,1,0.1,.10 (cents),0.85,"It took me a second because my first answer was wrong, but after thinking about it, I now see the correct solution and would say I am very confident with an answer of about 85%.",1,"100%. I did the math problem correctly, so I'm totally sure about it.",0.009,"Maybe 30%. I guess some will just calculate $2 and .90 like before or come up with some other wrong value for the banana, so I don't think too many will get it right off hand unless they read the problem carefully and thought through the logic.",0.65,"Probably about 65%. I guess that some might make mistakes or forget a penny or something, but most people know how to do simple addition like that."
47,,1a,PE,0,0.1,0,0.1,.10,1,0.9,1,0.9,.90,1,100,0.95,95,0.65,65,0.63,63
48,,2b,PE,0,1,0,1.05,"Let ""E"" represent the price of the eraser. That means the price of the pencil is E + $1. According to the problem description, the sum of the prices of both objects is $1.10, therefore the following equality can be written: E + (E+1) = $1.10. If we solve for E, we find that the value is .05 cents (five cents), so the eraser costs $.05 and the pencil therefore must cost $1.05.",1,0.9,1,0.9,"$.90, since if one subtracts the price of the magazine ($2) from the total price of both items ($2.90), they arrive at a value of .90 cents for the banana.",,I am entirely certain that my answer is correct because I worked through it systematically and checked to ensure that my final solution made sense given all available information.,0.75,I'm about 75 percent certain that my answer is correct. I did have some doubt about it initially.,,"Perhaps only around one-third to one-half of individuals who respond to this question will get it right, based on prior experience with such problems. The difficulty lies within interpreting what the phrase ""one dollar more than the eraser"" truly means. Many people might misconstrue it as implying a difference in price of a full dollar instead of merely meaning the price of the pencil being exactly one dollar higher than that of the eraser. Some individuals also seem unwilling or unable to invest sufficient mental energy to comprehend and resolve these types of questions correctly.",-0.6,"Based on prior surveys, I would estimate that perhaps only 40-60 percent of participants arrive at the correct solution. It can be very tricky because it requires paying attention to small details, as well as critical thinking. However, it seems like people are sometimes in such a hurry when completing these types of surveys, or become distracted and don't think too much about their responses, which might cause them to answer incorrectly. Additionally, some individuals may not even bother reading the questions fully before answering, leading them astray."
49,,1a,PE,1,0.05,0,1.1,"Eraser cost $.05, because the pencil would then be $1.05 making them a total of $1.10.",1,0.9,1,0.9,Banana cost $.90,0.99,99%,0.98,98%,0.8,I believe 80% would solve this question correctly.,0.75,75%. This question is worded differently and could confuse people who thought they knew the answer because of their certainty in solving similar problems beforehand.
50,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.6,60,1,100,0.25,25,0.75,75
51,,2a,BM,0,0.9,0,0.9,0.90 (cents),0,0,0,1,"No way... 0 cents. Because it says that ""the pencil costs $1"" which means there's no extra charge for the eraser!!! :)",1,100%. I think I got that right! :),,"Absolutely, totally sure! :)))))",0.8,I guess...75%. Maybe 80%.,0.1,"Oh... maybe just 10%, if even that high!! People often add money when they see two items mentioned like that - especially if the first one is more expensive. Most people probably assumed that the eraser had some price attached to it."
52,,1a,PE,1,0.05,0,0.1,"Eraser costs $.05, because if a pencil was one dollar then the difference between the two would be $.95, but that's too much, so I subtracted by another penny making it $.85. Half of that is $.425 which is not possible since currency isn't divided into quarters ($.25) in this context. Therefore, my answer must be rounded down to $.05 for the eraser and $.10 for the pencil.",1,0.9,1,0.9,Banana costs $.90 because if the magazine was two dollars then the remaining cost would be $.90.,0.87,"87%. While I know there are limitations with money as stated before, rounding makes me slightly uncertain about my final answer even though I believe it's close.",1,"100%. This problem doesn't involve any complex calculations, just simple subtraction.",0.3,30%. A lot of people tend to forget that there can be rounding involved or they might simply choose an incorrect value due to miscalculation.,0.8,80%. It's quite straightforward and should be solvable by most individuals with basic arithmetic skills.
53,,1b,BM,1,0.45,1,0.45,0.45,1,0.1,1,0.1,0.10,0.85,85,1,100,0.8,80,0.9,90
54,,2b,PE,1,0.05,1,0.05,The eraser costs $0.05.,1,0.9,1,0.9,The banana costs $0.90,1,100%,1,100%,0.4,"About 40%, because of a common cognitive bias.",0.5,I believe 50% or higher of people will solve it correctly.
55,,2a,BM,0,0.9,0,2,Banana=.90 Magazine =2.00,1,0.1,1,0.1,.10,0.5,50,1,100,0.7,70,0.9,90
56,,2a,BM,0,0.5,0,1,".50 cents because if it was a dollar then the total would be three dollars. It's not 25 cents because then the magazine would not cost two dollars more than the banana, but two times as much instead (50 cent vs 1$).",0,,0,,Ten cents because otherwise the pencil would only cost a dime.,0.95,95%,0.95,95%,0.75,I think about 75%.,0.8,I would say at least 80%.
57,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.75,75%.,0.95,95%.,0.15,15%.,0.5,50%.
58,,1a,PE,0,0.1,0,0.1,".10 (This was an unexpected answer, so I went on)",1,0.9,1,0.9,".90 (Again, not expected)",0.95,95,0.8,80,0.75,75,0.4,40
