Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
1,LLM_L2WVU70,21,Male,PE,2b,0,10,1,90,,,0.4,0.8,0.3,0.65,,,,,,,,-0.4,-0.35
2,LLM_L2WVU70,18,Male,PE,1a,0,2,0,30,,,0.75,0.65,0.49,0.8,,,,,,,,0.1,-0.31
3,LLM_L2WVU70,18,Male,BM,1b,1,45,1,10,,,0.8,0.95,0.65,0.75,,,,,,,,-0.15,-0.1
4,LLM_L2WVU70,20,Male,BM,2a,0,50,1,10,,,0.4,0.7,0.6,0.8,,,,,,,,-0.3,-0.2
5,LLM_L2WVU70,19,Female,PE,2b,0,0.1,1,0.9,,,0.88,0.75,0.64,0.33,,,,,,,,0.13,0.31
6,LLM_L2WVU70,19,Female,PE,1a,1,5,1,90,,,1,0.8,0.3,0.4,,,,,,,,0.2,-0.1
7,LLM_L2WVU70,18,Female,BM,1b,0,0.6,1,0.1,,,0.9,0.9,0.8,0.75,,,,,,,,0,0.05
8,LLM_L2WVU70,20,Female,PE,2b,0,0.1,1,0.9,,,0.65,0.75,0.85,0.6,,,,,,,,-0.1,0.25
9,LLM_L2WVU70,19,Male,BM,2a,0,0.5,1,0.1,,,1,0.8,0.7,0.6,,,,,,,,0.2,0.1
10,LLM_L2WVU70,18,Male,PE,1a,0,0.5,1,0.9,,,0.7,0.6,0.9,0.8,,,,,,,,0.1,0.1
11,LLM_L2WVU70,19,Female,BM,2a,0,50,1,10,,,0.8,0.7,0.3,0.6,,,,,,,,0.1,-0.3
12,LLM_L2WVU70,19,Female,PE,1a,0,1,1,0.9,,,0.6,0.7,0.25,0.4,,,,,,,,-0.1,-0.15
