Subject,CB,Q1num,Q1str,Conf1num,Conf1str,Opin1num,Opin1str,Q2num,Q2str,Conf2num,Conf2str,Opin2num,Opin2str
1,2b,0.9,$0.90,85,85,90,90,0.3,$0.30,95,95,70,70
2,1a,5,5 cents,75,75%,60,60%,90,90 cents,40,40%,30,30%
3,1b,0.1,$0.10,75,75%,90,90%,1,$1,70,70%,80,80%
4,2a,1.5,$1.50,40,40,60,60,0.1,$0.10,70,70,80,80
5,2b,0.75,$0.75,80,80%,85,85%,0.2,$0.20,63,63%,45,45%
6,1a,5,5 cents,60,60%,40,40%,90,90 cents,70,70%,80,80%
7,1b,,,,,,,,,,,,
8,2b,0.5,$.50,87,87%,64,64%,0.3,$0.30,80,80%,60,60%
9,2a,2.25,"Bananas cost 75 cents, magazines cost $2.25",85,85%,40,40%,1,"Erasers cost 10 cents, pencils cost $1.00",100,100%,95,95%
10,1a,35,35 cents,90,90%,50,50%,90,90 cents,95,95%,70,70%
11,2a,1,1$,85,85,40,40%,10,10 cents,70,70,75,75%
12,1a,0.55,.55 cents,74,74%,36,36%,90,90 cents,85,85%,60,60%
13,1b,10,10 cents,75,75%,65,65%,1.5,1.50,80,80%,45,45%
14,2b,0.9,.90,95,95,40,40,10,10 cents,80,80,30,30
15,1a,,Hmm... I'm not sure.,50,Maybe about 50%.,60,Um... 60% sounds right.,0.9,"Oh wait, that's an easy one! $0.90.",98,"98%, definitely.",70,At least 70% should get this right.
16,2a,0.5,0.50 cents,70,70%,80,80%,10,10 cents,70,70%,80,80%
17,2b,1.9,$1.90,75,75,80,80,0.4,$.40,60,60,85,85
18,1b,20,20 cents,50,50%,70,70%,40,40 cents,30,30%,60,60%
19,1a,0.6,"Eraser = .50, Pencil = .60",74,74%,25,25%,0.5,Banana = .50,73,73%,80,80%
20,2b,90,90 cents,100,100 %,65,65 %,50,50 cents,100,100 %,85,85 %
21,1b,0.1,$0.10,75,75,89,89,1.4,$1.40,63,63,54,54
