Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
1,LLM_L2WVU70,21,Male,PE,2b,0,0.3,1,0.9,,,0.95,0.85,0.7,0.9,,,,,,,,0.1,-0.2
2,LLM_L2WVU70,18,Male,PE,1a,1,5,1,90,,,0.75,0.4,0.6,0.3,,,,,,,,0.35,0.3
3,LLM_L2WVU70,18,Male,BM,1b,0,1,1,0.1,,,0.7,0.75,0.8,0.9,,,,,,,,-0.05,-0.1
4,LLM_L2WVU70,20,Male,BM,2a,0,1.5,1,0.1,,,0.4,0.7,0.6,0.8,,,,,,,,-0.3,-0.2
5,LLM_L2WVU70,19,Female,PE,2b,0,0.2,0,0.75,,,0.63,0.8,0.45,0.85,,,,,,,,-0.17,-0.4
6,LLM_L2WVU70,19,Female,PE,1a,1,5,1,90,,,0.6,0.7,0.4,0.8,,,,,,,,-0.1,-0.4
7,LLM_L2WVU70,18,Female,BM,1b,0,,0,,,,,,,,,,,,,,,,
8,LLM_L2WVU70,20,Female,PE,2b,0,0.3,0,0.5,,,0.8,0.87,0.6,0.64,,,,,,,,-0.07,-0.04
9,LLM_L2WVU70,19,Male,BM,2a,0,2.25,0,1,,,0.85,1,0.4,0.95,,,,,,,,-0.15,-0.55
10,LLM_L2WVU70,18,Male,PE,1a,0,35,1,90,,,0.9,0.95,0.5,0.7,,,,,,,,-0.05,-0.2
11,LLM_L2WVU70,19,Female,BM,2a,0,1,1,10,,,0.85,0.7,0.4,0.75,,,,,,,,0.15,-0.35
12,LLM_L2WVU70,19,Female,PE,1a,0,0.55,1,90,,,0.74,0.85,0.36,0.6,,,,,,,,-0.11,-0.24
13,LLM_L2WVU70,19,Female,BM,1b,0,1.5,1,10,,,0.8,0.75,0.45,0.65,,,,,,,,0.05,-0.2
14,LLM_L2WVU70,18,Male,PE,2b,0,10,1,0.9,,,0.8,0.95,0.3,0.4,,,,,,,,-0.15,-0.1
15,LLM_L2WVU70,22,Female,PE,1a,0,,1,0.9,,,0.5,0.98,0.6,0.7,,,,,,,,-0.48,-0.1
16,LLM_L2WVU70,19,Female,BM,2a,0,0.5,1,10,,,0.7,0.7,0.8,0.8,,,,,,,,0,0
17,LLM_L2WVU70,20,Female,PE,2b,0,0.4,0,1.9,,,0.6,0.75,0.85,0.8,,,,,,,,-0.15,0.05
18,LLM_L2WVU70,18,Female,BM,1b,0,40,0,20,,,0.3,0.5,0.6,0.7,,,,,,,,-0.2,-0.1
19,LLM_L2WVU70,18,Female,PE,1a,0,0.6,0,0.5,,,0.74,0.73,0.25,0.8,,,,,,,,0.01,-0.55
20,LLM_L2WVU70,18,Female,PE,2b,0,50,1,90,,,1,1,0.85,0.65,,,,,,,,0,0.2
21,LLM_L2WVU70,18,Female,BM,1b,0,1.4,1,0.1,,,0.63,0.75,0.54,0.89,,,,,,,,-0.12,-0.35
22,LLM_L2WVU70,19,Male,PE,2b,0,60,1,90,,,0.75,0.85,0.75,0.8,,,,,,,,-0.1,-0.05
23,LLM_L2WVU70,18,Female,PE,1a,0,,0,1,,,0.2,0.9,0.5,0.9,,,,,,,,-0.7,-0.4
24,LLM_L2WVU70,18,Female,BM,2a,0,0.5,1,0.1,,,1,1,0.75,0.85,,,,,,,,0,-0.1
25,LLM_L2WVU70,20,Female,PE,2b,0,0.1,0,,,,0.8,0.5,0.8,0.3,,,,,,,,0.3,0.5
26,LLM_L2WVU70,19,Male,BM,1b,0,0.5,1,10,,,0.3,0.8,0.4,0.5,,,,,,,,-0.5,-0.1
27,LLM_L2WVU70,19,Female,PE,2b,0,0.4,0,0.85,,,0.83,0.75,0.7,0.6,,,,,,,,0.08,0.1
28,LLM_L2WVU70,19,Male,BM,1b,0,40,1,10,,,0.3,0.5,0.6,0.8,,,,,,,,-0.2,-0.2
29,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.65,0.65,0.35,0.75,,,,,,,,0,-0.4
30,LLM_L2WVU70,19,Female,PE,1a,1,5,0,40,,,0.32,0.7,0.86,0.66,,,,,,,,-0.38,0.2
31,LLM_L2WVU70,18,Male,PE,1a,0,25,0,30,,,0.7,0.7,0.64,0.8,,,,,,,,0,-0.16
32,LLM_L2WVU70,18,Female,BM,1b,1,45,1,10,,,0.9,0.95,0.6,0.7,,,,,,,,-0.05,-0.1
33,LLM_L2WVU70,19,Female,BM,2a,1,45,1,10,,,0.8,0.95,0.7,0.96,,,,,,,,-0.15,-0.26
34,LLM_L2WVU70,19,Female,PE,2b,0,40,1,90,,,0.75,0.85,0.3,0.6,,,,,,,,-0.1,-0.3
35,LLM_L2WVU70,19,Female,BM,1b,0,40,1,10,,,0.8,0.75,0.4,0.6,,,,,,,,0.05,-0.2
36,LLM_L2WVU70,19,Male,BM,2a,0,0.59,1,0.1,,,0.78,0.72,0.46,0.34,,,,,,,,0.06,0.12
37,LLM_L2WVU70,19,Female,PE,1a,1,5,1,90,,,0.7,0.85,0.6,0.85,,,,,,,,-0.15,-0.25
38,LLM_L2WVU70,19,Female,PE,2b,0,,0,,,,0.35,0.55,0.89,0.76,,,,,,,,-0.2,0.13
39,LLM_L2WVU70,19,Male,BM,1b,0,,0,,,,,,,,,,,,,,,,
40,LLM_L2WVU70,18,Male,BM,1b,0,0.9,0,1.1,,,0.6,0.75,0.4,0.3,,,,,,,,-0.15,0.1
41,LLM_L2WVU70,19,Male,PE,2b,0,0.5,1,0.9,,,0.4,0.85,0.3,0.6,,,,,,,,-0.45,-0.3
42,LLM_L2WVU70,19,Female,PE,1a,0,0.55,1,0.9,,,0.96,0.83,0.47,0.51,,,,,,,,0.13,-0.04
43,LLM_L2WVU70,21,Male,BM,2a,0,0.5,1,10,,,0.7,0.8,0.3,0.6,,,,,,,,-0.1,-0.3
44,LLM_L2WVU70,18,Male,BM,2a,0,0.5,1,0.1,,,0.6,0.4,0.7,0.8,,,,,,,,0.2,-0.1
45,LLM_L2WVU70,24,Male,PE,2b,0,60,1,90,,,0.9,0.85,0.95,0.75,,,,,,,,0.05,0.2
46,LLM_L2WVU70,21,Male,BM,1b,0,35,0,5,,,0.7,0.9,0.65,0.85,,,,,,,,-0.2,-0.2
47,LLM_L2WVU70,19,Female,PE,1a,0,1.5,1,0.9,,,1,1,0.8,0.9,,,,,,,,0,-0.1
48,LLM_L2WVU70,18,Female,PE,2b,0,10,1,0.9,,,0.7,0.6,0.8,0.5,,,,,,,,0.1,0.3
49,LLM_L2WVU70,19,Male,PE,1a,0,0.1,1,0.9,,,0.85,0.65,0.7,0.8,,,,,,,,0.2,-0.1
50,LLM_L2WVU70,19,Female,BM,1b,0,0.4,1,0.1,,,0.7,0.85,0.85,0.65,,,,,,,,-0.15,0.2
51,LLM_L2WVU70,20,Female,BM,2a,0,1,1,0.1,,,0.75,0.85,0.85,0.64,,,,,,,,-0.1,0.21
52,LLM_L2WVU70,20,Male,PE,1a,1,5,1,90,,,0.8,0.7,0.3,0.45,,,,,,,,0.1,-0.15
