Subject,CB,Q1num,Q1str,Conf1num,Conf1str,Opin1num,Opin1str,Q2num,Q2str,Conf2num,Conf2str,Opin2num,Opin2str
1,2b,0.9,$0.90,90,90%,75,75%,0.45,$0.45,80,80%,63,63%
2,1a,5,5 cents,70,70%,45,45%,90,90 cents,60,60%,80,80%
3,1b,10,10 cents,100,100%,60,60%,50,50 cents,75,75%,40,40%
4,2a,55,55 cents,86,86,72,72,10,10 cents,94,94,83,83
5,2b,0.9,0.90,85,85,60,60,0.05,0.05,73,73,40,40
6,1a,0.1,[0.1],80,80%,75,75%,0.9,[0.9],64,64%,30,30%
7,1b,10,10 cents,65,65%,75,75%,40,40 cents,35,35%,80,80%
8,2b,0.9,0.9,85,85,70,70,0.1,0.1,63,63,60,60
9,2a,0.5,$0.50,80,80%,65,65%,0.1,$0.10,70,70%,43,43%
10,1a,0.5,$.50,90,90,60,60,0.9,$.90,75,75,30,30
11,2a,,The problem cannot be solved because there is not enough information given.,85,85,75,75,10,10 cents,95,95,90,90
12,1a,0.5,Answer: $0.50,65,65%,35,35%,1.85,Answer: $1.85,70,70%,45,45%
13,1b,10,10 cents,80,80%,60,60%,50,50 cents,70,70%,40,40%
14,2b,90,90 cents,75,75%,60,60%,20,20 cents,80,80%,45,45%
15,1a,10,10 cents,75,75%,60,60%,90,90 cents,80,80%,50,50%
16,2a,50,50 cents,80,80%,35,35%,10,10 cents,75,75%,65,65%
17,2b,0.9,The banana must be worth $0.90.,55,55%,40,I believe 40% of people answered correctly,0.1,The eraser costs $0.10,75,75%,60,I believe 60% of people answered correctly
18,1b,0.1,Eraser is $0.10,70,70,65,65,0.3,Banana is $0.30,90,90,80,80
19,1a,0.25,$0.25,90,90%,75,75%,0.3,$0.30,95,95%,85,85%
20,2b,0.9,0.90,75,75,65,65,0.1,0.10,40,40,80,80
21,1b,10,10 cents,95,95%,40,40%,0.6,$0.60,80,80%,70,70%
22,2b,0.5,$.50,84,84,30,30,0.5,$.50,76,76,45,45
23,1a,0.5,Eraser costs $0.50.,65,65%,75,75%,0.9,Banana costs $0.90.,84,84%,93,93%
24,2a,35,35 cents,60,60%,70,70%,10,10 cents,90,90%,80,80%
25,2b,90,90 cents,75,75%,83,83%,50,50 cents,60,60%,40,40%
26,1b,0.1,$0.10,50,50%,70,70%,0.45,$0.45,30,30%,60,60%
27,2b,0.9,$0.90,75,75%,65,65%,0.1,$0.10,85,85%,50,50%
28,1b,10,10¢,85,85%,65,65%,1.5,$1.50,70,70%,45,45%
29,2a,15,15 cents,60,60%,30,30%,10,10 cents,70,70%,80,80%
30,1a,1.5,"Eraser cost = $0.50, Pencil cost = $1.50",80,80% sure,70,70%,0.9,Banana cost = $0.90,60,60% sure,30,30%
31,1a,5,5 cents,90,90,70,70,90,90 cents,60,60,30,30
32,1b,5,5 cents,67,67%,30,30%,40,40 cents,70,70%,80,80%
33,2a,50,50 cents,80,80,70,70%,10,10 cents,100,100%,100,100%
34,2b,0.95,$.95,80,80,70,70,0.45,$.45,60,60,50,50
