Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
1,LLM_L2WVU70,21,Male,PE,2b,0,0.45,1,0.9,,,0.8,0.9,0.63,0.75,,,,,,,,-0.1,-0.12
2,LLM_L2WVU70,18,Male,PE,1a,1,5,1,90,,,0.7,0.6,0.45,0.8,,,,,,,,0.1,-0.35
3,LLM_L2WVU70,18,Male,BM,1b,0,50,1,10,,,0.75,1,0.4,0.6,,,,,,,,-0.25,-0.2
4,LLM_L2WVU70,20,Male,BM,2a,0,55,1,10,,,0.86,0.94,0.72,0.83,,,,,,,,-0.08,-0.11
5,LLM_L2WVU70,19,Female,PE,2b,1,0.05,1,0.9,,,0.73,0.85,0.4,0.6,,,,,,,,-0.12,-0.2
6,LLM_L2WVU70,19,Female,PE,1a,0,0.1,1,0.9,,,0.8,0.64,0.75,0.3,,,,,,,,0.16,0.45
7,LLM_L2WVU70,18,Female,BM,1b,0,40,1,10,,,0.35,0.65,0.8,0.75,,,,,,,,-0.3,0.05
8,LLM_L2WVU70,20,Female,PE,2b,0,0.1,1,0.9,,,0.63,0.85,0.6,0.7,,,,,,,,-0.22,-0.1
9,LLM_L2WVU70,19,Male,BM,2a,0,0.5,1,0.1,,,0.8,0.7,0.65,0.43,,,,,,,,0.1,0.22
10,LLM_L2WVU70,18,Male,PE,1a,0,0.5,1,0.9,,,0.9,0.75,0.6,0.3,,,,,,,,0.15,0.3
11,LLM_L2WVU70,19,Female,BM,2a,0,,1,10,,,0.85,0.95,0.75,0.9,,,,,,,,-0.1,-0.15
12,LLM_L2WVU70,19,Female,PE,1a,0,0.5,0,1.85,,,0.65,0.7,0.35,0.45,,,,,,,,-0.05,-0.1
13,LLM_L2WVU70,19,Female,BM,1b,0,50,1,10,,,0.7,0.8,0.4,0.6,,,,,,,,-0.1,-0.2
14,LLM_L2WVU70,18,Male,PE,2b,0,20,1,90,,,0.8,0.75,0.45,0.6,,,,,,,,0.05,-0.15
15,LLM_L2WVU70,22,Female,PE,1a,0,10,1,90,,,0.75,0.8,0.6,0.5,,,,,,,,-0.05,0.1
16,LLM_L2WVU70,19,Female,BM,2a,0,50,1,10,,,0.8,0.75,0.35,0.65,,,,,,,,0.05,-0.3
17,LLM_L2WVU70,20,Female,PE,2b,0,0.1,1,0.9,,,0.75,0.55,0.6,0.4,,,,,,,,0.2,0.2
18,LLM_L2WVU70,18,Female,BM,1b,0,0.3,1,0.1,,,0.9,0.7,0.8,0.65,,,,,,,,0.2,0.15
19,LLM_L2WVU70,18,Female,PE,1a,0,0.25,0,0.3,,,0.9,0.95,0.75,0.85,,,,,,,,-0.05,-0.1
20,LLM_L2WVU70,18,Female,PE,2b,0,0.1,1,0.9,,,0.4,0.75,0.8,0.65,,,,,,,,-0.35,0.15
21,LLM_L2WVU70,18,Female,BM,1b,0,0.6,1,10,,,0.8,0.95,0.7,0.4,,,,,,,,-0.15,0.3
22,LLM_L2WVU70,19,Male,PE,2b,0,0.5,0,0.5,,,0.76,0.84,0.45,0.3,,,,,,,,-0.08,0.15
23,LLM_L2WVU70,18,Female,PE,1a,0,0.5,1,0.9,,,0.65,0.84,0.75,0.93,,,,,,,,-0.19,-0.18
24,LLM_L2WVU70,18,Female,BM,2a,0,35,1,10,,,0.6,0.9,0.7,0.8,,,,,,,,-0.3,-0.1
25,LLM_L2WVU70,20,Female,PE,2b,0,50,1,90,,,0.6,0.75,0.4,0.83,,,,,,,,-0.15,-0.43
26,LLM_L2WVU70,19,Male,BM,1b,1,0.45,1,0.1,,,0.3,0.5,0.6,0.7,,,,,,,,-0.2,-0.1
27,LLM_L2WVU70,19,Female,PE,2b,0,0.1,1,0.9,,,0.85,0.75,0.5,0.65,,,,,,,,0.1,-0.15
28,LLM_L2WVU70,19,Male,BM,1b,0,1.5,1,10,,,0.7,0.85,0.45,0.65,,,,,,,,-0.15,-0.2
29,LLM_L2WVU70,18,Female,BM,2a,0,15,1,10,,,0.6,0.7,0.3,0.8,,,,,,,,-0.1,-0.5
30,LLM_L2WVU70,19,Female,PE,1a,0,1.5,1,0.9,,,0.8,0.6,0.7,0.3,,,,,,,,0.2,0.4
31,LLM_L2WVU70,18,Male,PE,1a,1,5,1,90,,,0.9,0.6,0.7,0.3,,,,,,,,0.3,0.4
