Subject,Subject.1,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
1,,2b,PE,0,10,0,1.1,Eraser costs 10 cents and Pencil costs $1.10 (it looks confusing but the trick here is to remember that we have to find out the price of ERAZER first!),1,90,1,0.9,90 cents or $.90 (this question was tricky),1,I am 100% confident that my answer is correct.,0.75,I am 75% confident that my answer is correct. (I'm less sure because this problem is a bit trickier than it seems).,0.95,I believe 95% people will get it right after solving the last one and getting tricked!,0.3,I believe only 30% will get this problem right as it can be misunderstood easily.
2,,1a,PE,1,0.05,1,0.05,"$.05, because if the pencil ($1) costs $1 more than the eraser, then the eraser must be priced at a nickel ($.05).",1,0.9,1,0.9,$.90,1,100%,1,100%,0.9,90%,0.9,90%
3,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75,0.95,95,0.8,80,0.95,95
4,,2a,BM,0,2.75,0,0.15,The magazine costs $2.75 and the banana costs $0.15.,0,,0,,It doesn't say that there is an eraser. There's nothing specifying an eraser here.,0.6,60%,1,100%. There's nothing about the eraser in the question.,,I don't know; maybe about half,,"Maybe about half. Some may have answered wrongly, assuming there's an eraser in the second case."
5,,2b,PE,1,0.05,1,0.05,$.05 cents,1,0.9,1,0.9,$.90 cents,0.65,65%,0.85,85%,0.4,40%,0.6,60%
6,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.8,"80%. I feel pretty sure, but it's just been so long since I have done that kind of problem!",0.0005,"95%. It was very easy; the price of the pencil is simply $1.05. So the eraser costs $1.05 - $1 = $.05. And since the price difference between both items is given, we do not need to know their actual values or prices; thus, we don't need any additional information in order to solve this.",-0.7,"Maybe around 60-70%, but honestly I'm not sure because it seems like such an easy question. I guess if there were other factors making the answer unclear then it could be less. But I hope my friends can get it right lol.",1,"Close to 100% for certain. Maybe there will always be someone who did something wrong, but honestly, anyone with basic algebraic skills should have been able to figure out the solution. Even if you were using your intuition alone, it seems like this shouldn't take more than one try at most!"
7,,1b,BM,0,,0,,The banana would cost fifty cents. If the magazine cost two dollars more than the banana then the magazine is worth twenty nine dollars and subtracting the two dollars leaves us with twenty seven dollars. Two dollars and seventy dollars are the costs before anything like tax is included so divide by half to get the cost of the banana which is fifty cents.,0,1,1,10,The eraser would cost ten cents because 1 dollar for a pencil + 10 cents for an eraser = 1 dollar and 10 cents together.,0.85,"85%, I am very confident because the question stated that it was dealing with the actual price of the items and not after any additives had been added so I feel that there isn’t an alternative answer that fits.",0.9,"90%, I am very confident in this answer, but I do realize it can be misconstrued since you could interpret a price as including tax.",0.6,"60%. People have issues sometimes figuring out numbers especially when they’re told that one thing is some amount more or less than another, but once they understand exactly how many dollars are being discussed then they will likely be able to solve the problem correctly.",0.7,70%. I believe most people solve this problem correctly once they understand that we are just dealing with straight up costs and no additives such as sales tax or tip.
8,,2b,PE,1,5,1,0.05,5 cents or $.05,1,90,0,100,90 cents or $.09 or 90/100,1,100,1,100,0.7,70,0.8,80
9,,2a,BM,1,0.45,0,2.9,"Banana cost .45 cents because if the Magazine cost 2 dollars more than the banana then that would be (2+.45) =$2.45, which equals $2.90 for both items.",1,0.1,1,0.1,"$.10 because if the pencil cost $1 and they were together worth $1.10, then it must be .10 cents",1,83% I'm pretty sure I solved it correctly but I just double checked my work so that why i have an 83% rather than a 100%.,0.1,"100%, absolutely certain. I can solve it many times and will always get the same answer which is 10cents",0.0145,"65%, most of them will probably add 2 dollars straight up making it ($2.90) and divide it into two halves each costing ($1.45), thus making their mistake of getting the same amount for both the magazine and the banana.",0.85,"85%, that's a really easy question to solve because even young kids who might not know the value of money would subtract the one dollar pencil from one dollar ten cents, so they will easily find out that the eraser costs ten cents."
10,,1a,PE,1,5,0,0.9,"Eraser cost 5 cents, because if you subtract .10 from $1 then the pencil will only cost .90 cents more.",1,90,1,90,90 cents,0.85,85 percent,0.6,60%,0.75,About 75 %,0.5,Maybe like half...maybe around 40 or 50%
11,,2a,BM,0,50,0,50,50 cents,1,10,1,10,10 cents,1,100%,1,100%,0.8,80%,0.9,90%
12,,1a,PE,1,0.05,1,0.05,"$.05 (Most people's first instinct is that if a pencil costs $1 more than an eraser, then it must be $1.05 and the eraser must be $.05.)",1,0.9,0,2,"$.90 (This time most people actually solve the problem as intended before guessing, because they realize the importance of checking their work after getting the unexpected answer of .40 cents for the banana when following the same reasoning pattern as in question 2.)",0.8,80%.,0.85,"I am now 100% sure of my response because it seems like the right amount according to common sense but then again who knows maybe there's some sort of trick involved here too, haha! So let's say 85%.",0.6,I think about half could get it wrong due to lack of attention or careless thinking so about 40% to 60%.,0.8,"Since people seem more attentive now after having gotten tripped up by the first one, I would estimate that around 70% to 80% got it right."
